# Class red_S0 blue_S0 green_S0 nir_wide_S0 nir_S0 swir_1_S0 swir_2_S0 red_edge_1_S0 red_edge_2_S0 red_edge_3_S0 EVI_S0 edev_S0 sdev_S0 bcdev_S0 NDVI_S0 LAI_S0 MNDWI_S0 evi_10_S0 evi_50_S0 evi_90_S0 evi_range_S0 evi_std_S0 rainclim_min_S0 rainclim_mean_S0 rainclim_max_S0 rainclim_range_S0 rainclim_std_S0 f_mean_n1_S0 f_mean_n2_S0 f_mean_n3_S0 f_std_n1_S0 f_std_n2_S0 f_std_n3_S0 f_median_n1_S0 f_median_n2_S0 f_median_n3_S0 abs_change_S0 mean_change_S0 median_change_S0 discordance_S0 complexity_S0 central_diff_S0 slope mrvbf mrrtf
1.000000 0.143929 0.065420 0.100909 0.283464 0.304135 0.374454 0.313331 0.195027 0.258553 0.283814 0.236904 2.518841 5.777026 3.258529 0.355275 0.739118 -0.575450 0.160348 0.243058 0.354458 0.191695 0.085840 36.904060 99.289864 287.716553 250.812500 66.985771 1.494653 0.700945 0.592447 0.802243 0.236543 0.236297 1.576087 0.620797 0.535782 0.021554 0.003290 0.000000 -0.004140 25.801819 0.000000 1.946179 2.000000 5.000000
1.000000 0.056533 0.039828 0.069571 0.285318 0.298132 0.232209 0.136601 0.112891 0.238251 0.273063 0.451208 1.855801 5.166493 2.373585 0.681202 1.514472 -0.538930 0.265200 0.446422 0.616082 0.350882 0.172992 75.658997 123.142326 211.057449 135.398453 38.766544 2.422082 1.967684 1.199977 1.344703 0.709225 0.362561 1.964206 1.885569 1.243104 0.088345 0.002230 0.000000 -0.032060 64.108986 0.000274 32.086040 0.000000 0.000000
1.000000 0.137884 0.074222 0.103372 0.260861 0.285979 0.449729 0.373655 0.185299 0.229877 0.255639 0.238393 2.328035 5.709844 2.973980 0.350635 0.744506 -0.614581 0.184051 0.241315 0.406228 0.215301 0.080172 35.886280 108.005730 235.475586 199.589310 57.731194 1.539500 0.615821 0.233374 0.889004 0.385667 0.104728 1.199973 0.501582 0.235352 0.024145 -0.001261 0.000000 0.013874 22.434797 -0.000127 7.071068 1.000000 0.000000
1.000000 0.109273 0.061398 0.090089 0.228616 0.255256 0.312281 0.249499 0.149194 0.209245 0.234647 0.251625 1.847601 3.975947 2.395267 0.400472 0.792379 -0.552404 0.139777 0.235643 0.409861 0.272088 0.115584 33.243282 106.252869 236.979172 203.735886 57.429832 1.725235 1.306988 0.600472 0.832871 0.434105 0.183322 1.262486 1.050640 0.601767 0.036637 -0.001810 0.000000 -0.008527 37.760330 0.000351 5.034603 1.000000 1.000000
1.000000 0.054581 0.039276 0.064359 0.283558 0.313625 0.220663 0.134675 0.112822 0.244038 0.287590 0.480855 2.528972 6.118906 3.048816 0.703502 1.621732 -0.548449 0.417062 0.474823 0.657029 0.239968 0.102236 75.658997 123.142326 211.057449 135.398453 38.766544 1.752603 0.813710 0.591370 0.704333 0.346122 0.149405 1.764439 0.891223 0.628003 0.034491 0.003058 0.000000 -0.029395 34.451973 -0.000301 25.310572 0.000000 0.000000
1.000000 0.060505 0.039027 0.064859 0.293722 0.306392 0.245522 0.154184 0.119317 0.237487 0.280091 0.445370 2.120405 4.944968 2.623113 0.665079 1.493350 -0.583739 0.338861 0.438565 0.644473 0.303889 0.157199 75.944588 125.903175 223.455627 147.511047 41.202957 2.161956 1.171663 0.919897 1.317600 0.471568 0.314776 1.588133 1.035959 0.911768 0.057358 0.004339 0.000000 0.011456 63.875778 0.000019 32.609867 0.000000 0.000000
1.000000 0.065214 0.046140 0.077575 0.317369 0.328414 0.210936 0.128334 0.119339 0.259479 0.309034 0.479015 1.511503 4.372574 2.134850 0.668651 1.615075 -0.462238 0.200910 0.498052 0.677940 0.477031 0.194565 75.931587 152.302948 263.869080 187.937500 50.442032 2.575935 1.662469 0.793389 1.976248 0.623424 0.221896 1.982831 1.493537 0.764441 0.076582 -0.001586 0.000000 -0.017568 33.980019 -0.000491 7.120003 1.000000 0.000000
1.000000 0.101347 0.066130 0.110256 0.363338 0.385312 0.287518 0.177757 0.167215 0.316421 0.359376 0.474091 2.198984 5.680760 3.025274 0.583499 1.597262 -0.445634 0.310607 0.485865 0.577478 0.266871 0.109386 75.931587 152.302948 263.869080 187.937500 50.442032 1.560207 0.724051 0.413199 0.823892 0.301982 0.202636 1.162157 0.690585 0.428504 0.043671 -0.000139 0.000000 0.002505 46.010880 -0.000110 3.584302 0.000000 3.000000
1.000000 0.054059 0.038907 0.065498 0.308747 0.335897 0.223383 0.130781 0.114992 0.257301 0.305613 0.517916 1.979221 5.604200 2.569405 0.722741 1.755818 -0.541036 0.325970 0.491434 0.665387 0.314637 0.124213 77.343330 134.299942 262.149567 184.806244 58.433331 1.799624 0.620072 0.641849 1.208838 0.221078 0.293319 1.401297 0.543885 0.552701 0.059280 -0.001275 0.000000 -0.016496 68.650337 -0.000007 4.487638 3.000000 4.000000
1.000000 0.044431 0.033860 0.060991 0.309473 0.339336 0.204266 0.111695 0.109501 0.264916 0.312541 0.546383 2.421789 6.471482 3.023567 0.771529 1.858813 -0.540605 0.439182 0.545808 0.627120 0.190200 0.076237 77.343330 134.299942 262.149567 184.806244 58.433331 1.279789 0.417467 0.456690 0.594815 0.231785 0.196875 1.317607 0.356781 0.372682 0.036813 0.000802 0.000000 0.017400 47.812881 -0.000809 3.450009 3.000000 0.000000
